playlist_id,track_id,added_at,popularity
37i9dQZF1DXcBWIGoYBM5M,3rUGC1vUpkDG9CZFHMur1t,2023-10-20T04:00:00Z,98
37i9dQZF1DXcBWIGoYBM5M,7aqfrAY2p9BUSiupwk3svU,2023-10-20T04:00:00Z,91
37i9dQZF1DXcBWIGoYBM5M,7dJYggqjKo71KI9sLzqCs8,2023-10-20T04:00:00Z,89
37i9dQZF1DXcBWIGoYBM5M,4MjDJD8cW7iVeWInc2Bdyj,2023-10-20T04:00:00Z,94
37i9dQZF1DXcBWIGoYBM5M,5aIVCx5tnk0ntmdiinnYvw,2023-10-20T04:00:00Z,92
37i9dQZF1DXcBWIGoYBM5M,5mjYQaktjmjcMKcUIcqz4s,2023-10-20T04:00:00Z,98
37i9dQZF1DXcBWIGoYBM5M,1BxfuPKGuaTgP7aM0Bbdwr,2023-10-20T04:00:00Z,99
37i9dQZF1DXcBWIGoYBM5M,6ehWdR7cGDXnT7aKEASJxE,2023-10-20T04:00:00Z,96
37i9dQZF1DXcBWIGoYBM5M,2IGMVunIBsBLtEQyoI1Mu7,2023-10-20T04:00:00Z,100
37i9dQZF1DXcBWIGoYBM5M,6WzRpISELf3YglGAh7TXcG,2023-10-20T04:00:00Z,93
37i9dQZF1DXcBWIGoYBM5M,4iZ4pt7kvcaH6Yo8UoZ4s2,2023-10-20T04:00:00Z,92
37i9dQZF1DXcBWIGoYBM5M,4KULAymBBJcPRpk1yO4dOG,2023-10-20T04:00:00Z,94
37i9dQZF1DXcBWIGoYBM5M,3vkCueOmm7xQDoJ17W1Pm3,2023-10-20T04:00:00Z,94
37i9dQZF1DXcBWIGoYBM5M,3IX0yuEVvDbnqUwMBB3ouC,2023-10-20T04:00:00Z,94
37i9dQZF1DXcBWIGoYBM5M,1vYXt7VSjH9JIM5oRRo7vA,2023-10-20T04:00:00Z,95
37i9dQZF1DXcBWIGoYBM5M,6wf7Yu7cxBSPrRlWeSeK0Q,2023-10-20T04:00:00Z,96
37i9dQZF1DXcBWIGoYBM5M,2HafqoJbgXdtjwCOvNEF14,2023-10-20T04:00:00Z,96
37i9dQZF1DXcBWIGoYBM5M,7x9aauaA9cu6tyfpHnqDLo,2023-10-20T04:00:00Z,98
37i9dQZF1DXcBWIGoYBM5M,0WtM2NBVQNNJLh6scP13H8,2023-10-20T04:00:00Z,91
37i9dQZF1DXcBWIGoYBM5M,4rXLjWdF2ZZpXCVTfWcshS,2023-10-20T04:00:00Z,96
37i9dQZF1DXcBWIGoYBM5M,6wsqVwoiVH2kde4k4KKAFU,2023-10-20T04:00:00Z,93
37i9dQZF1DXcBWIGoYBM5M,5sdQOyqq2IDhvmx2lHOpwd,2023-10-20T04:00:00Z,93
37i9dQZF1DXcBWIGoYBM5M,741UUVE2kuITl0c6zuqqbO,2023-10-20T04:00:00Z,91
37i9dQZF1DXcBWIGoYBM5M,5w40ZYhbBMAlHYNDaVJIUu,2023-10-20T04:00:00Z,88
37i9dQZF1DXcBWIGoYBM5M,0Nfh4u0J4bajcyp5pzaWCx,2023-10-20T04:00:00Z,84
37i9dQZF1DXcBWIGoYBM5M,5Eh1nj7IjV9lwpcKAkidyY,2023-10-20T04:00:00Z,80
37i9dQZF1DXcBWIGoYBM5M,1Qrg8KqiBpW07V7PNxwwwL,2023-10-20T04:00:00Z,92
37i9dQZF1DXcBWIGoYBM5M,1odExI7RdWc4BT515LTAwj,2023-10-20T04:00:00Z,95
