topic_id,topic
0,Explicit
1,Romantic Country
2,Spanish/time of day?
3,Heartbreak
4,Aggressive Romance
5,Crime
6,General verbs
7,Movement
8,Alcohol
9,Breakup/Leaving
10,Magical/Fantasy
11,Sensual Spanish
12,Mad at boy
13,Nostalgia
14,Physical Appearance
15,Hip Hop Romance
16,Wistful Romance
17,Upbeat Dance
18,Rebellious
19,Weather
