spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,danceability_encoded,energy_encoded,speechiness_encoded,acousticness_encoded,liveness_encoded,valence_encoded,tempo_encoded,duration_ms_encoded,loudness_encoded,instrumentalness_encoded,mode_encoded,key_encoded,time_signature_encoded
6we4NjG4yuo3sc3juMakNq,0.555,0.901,8.0,-5.331,1.0,0.346,0.0569,0.0,0.188,0.771,170.953,238625.0,4.0,low,high,high,low,medium,high,high,high,low,low,Major,G#,4.0
6wf7Yu7cxBSPrRlWeSeK0Q,0.444,0.0911,0.0,-17.665,1.0,0.0307,0.959,1.05e-06,0.098,0.142,78.403,222370.0,4.0,low,low,low,high,low,low,low,high,low,low,Major,C,4.0
6wsqVwoiVH2kde4k4KKAFU,0.927,0.619,5.0,-4.441,0.0,0.0539,0.0186,0.0,0.104,0.817,117.995,211582.0,4.0,high,medium,medium,low,low,high,medium,medium,low,low,Minor,F,4.0
6x96s0sQfFgk1NXpYK3EaM,,,,,,,,,,,,,,high,high,high,high,high,high,high,high,low,low,,,
6xGruZOHLs39ZbVccQTuPZ,0.44,0.317,8.0,-9.258,1.0,0.0531,0.891,4.78e-06,0.141,0.268,169.914,233456.0,3.0,low,low,medium,high,medium,low,high,high,low,low,Major,G#,3.0
6xVdq7lcNHpELteLBfrkY2,0.715,0.673,1.0,-4.553,1.0,0.329,0.00905,0.0,0.109,0.203,88.536,100975.0,4.0,medium,medium,high,low,medium,low,low,low,low,low,Major,C#,4.0
6y1R5SobrAlv2kkcEKeptu,0.15,0.000888,0.0,-39.048,1.0,0.0491,0.846,0.888,0.112,0.0604,70.317,153720.0,4.0,low,low,medium,high,medium,low,low,low,low,high,Major,C,4.0
6yM748bbGa0PYIwb5P80sN,0.399,0.904,4.0,-5.078,1.0,0.0644,0.00608,0.167,0.125,0.221,93.538,149613.0,4.0,low,high,medium,low,medium,low,low,low,low,low,Major,E,4.0
6yVjjQA31SLM1kc4j5jPwF,0.748,0.99,1.0,-2.39,1.0,0.151,0.303,0.132,0.267,0.386,126.015,118194.0,4.0,high,high,high,medium,high,medium,medium,low,low,low,Major,C#,4.0
6ylDpki1VpIsc525KC1ojF,0.746,0.844,11.0,-3.499,0.0,0.0359,0.062,0.0,0.149,0.934,123.014,189333.0,4.0,high,high,low,low,medium,high,medium,medium,low,low,Minor,B,4.0
6yr16gxxdy0JLUx0dxx4DI,0.108,0.00103,4.0,-40.77,0.0,0.0426,0.99,0.959,0.115,0.211,69.993,145000.0,3.0,low,low,medium,high,medium,low,low,low,low,high,Minor,E,3.0
6zNDaCnyrI3uUuvYqLpnAO,0.598,0.648,1.0,-9.785,1.0,0.0394,0.0905,0.0,0.0804,0.528,98.002,171869.0,4.0,medium,medium,low,medium,low,medium,low,low,low,low,Major,C#,4.0
6zSpb8dQRaw0M1dK8PBwQz,0.796,0.798,1.0,-6.312,1.0,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,202735.0,4.0,high,high,low,low,low,high,medium,medium,low,low,Major,C#,4.0
6zZVxqTT1eDCcE0APUatbx,0.476,0.894,0.0,-2.931,0.0,0.0404,0.0291,4.01e-06,0.15,0.732,162.021,177009.0,4.0,low,high,low,low,medium,high,high,medium,low,low,Minor,C,4.0
6zsk6uF3MxfIeHPlubKBvR,0.797,0.75,0.0,-9.369,1.0,0.247,0.533,0.108,0.095,0.74,177.87,211120.0,4.0,high,medium,high,medium,low,high,high,medium,low,low,Major,C,4.0
705dwKmZCd7ImAUyyD6Mpm,0.629,0.64,7.0,-7.638,0.0,0.0752,0.342,1.17e-05,0.0928,0.448,179.989,201495.0,4.0,medium,medium,medium,medium,low,medium,high,medium,low,low,Minor,G,4.0
70Gw6yQcnYCBKXTFONiDtc,0.842,0.509,1.0,-8.644,0.0,0.426,0.526,0.000285,0.118,0.521,120.001,207065.0,4.0,high,low,high,medium,medium,medium,medium,medium,low,low,Minor,C#,4.0
70SY343PZ41VVvlronoKFU,,,,,,,,,,,,,,high,high,high,high,high,high,high,high,low,low,,,
70b5Sq3ePOu3Gqg0hjlOtR,0.354,0.411,0.0,-6.018,1.0,0.0344,0.815,1e-06,0.106,0.43,90.831,225080.0,4.0,low,low,low,high,low,medium,low,high,low,low,Major,C,4.0
70qogNdzVuvwjCR15aJtba,0.492,0.083,3.0,-21.319,1.0,0.051,0.994,0.926,0.0979,0.338,88.109,167707.0,4.0,low,low,medium,high,low,low,low,low,low,high,Major,D#,4.0
7136zBuda3024ZQUTBB1Vg,0.589,0.702,1.0,-3.513,1.0,0.0342,0.289,0.0,0.107,0.211,109.982,230533.0,4.0,medium,medium,low,medium,low,low,low,high,low,low,Major,C#,4.0
717TY4sfgKQm4kFbYQIzgo,0.774,0.847,5.0,-3.925,0.0,0.121,0.0279,0.0183,0.241,0.923,143.011,198813.0,4.0,high,high,high,low,high,high,high,medium,low,low,Minor,F,4.0
71BWZa1liIRyUiuJ3MB66o,0.454,0.385,10.0,-12.849,1.0,0.0313,0.287,9.97e-05,0.0616,0.144,154.918,251667.0,4.0,low,low,low,medium,low,low,high,high,low,low,Major,A#,4.0
71FuuO6DQYr4CMrDxQr4BA,0.385,0.194,4.0,-7.977,1.0,0.0291,0.933,0.0,0.107,0.321,90.411,231045.0,5.0,low,low,low,high,low,low,low,high,low,low,Major,E,5.0
71TSbw9BT6D4w4Pari1Bw1,0.553,0.162,4.0,-12.379,0.0,0.186,0.983,0.612,0.117,0.972,130.106,42166.0,5.0,low,low,high,high,medium,high,medium,low,low,high,Minor,E,5.0
71efUiJwL11CRkI5aMplsi,0.939,0.486,6.0,-0.751,1.0,0.215,0.478,0.000173,0.051,0.83,135.012,166222.0,4.0,high,low,high,medium,low,high,medium,low,low,low,Major,F#,4.0
727Z2S2mtNH46CbP9EWPwY,0.286,0.445,6.0,-8.087,1.0,0.0347,0.355,0.0,0.114,0.278,50.827,217352.0,4.0,low,low,low,medium,medium,low,low,high,low,low,Major,F#,4.0
72iyEnh9p6PoyJoEnAJDjO,0.765,0.428,2.0,-2.789,1.0,0.0492,0.0249,0.92,0.297,0.422,100.006,120594.0,4.0,high,low,medium,low,high,medium,low,low,low,high,Major,D,4.0
72kGuWpRiuA149Bn5lDkIO,0.62,0.706,3.0,-4.176,1.0,0.0251,0.0755,7.78e-06,0.185,0.591,81.989,188483.0,4.0,medium,medium,low,low,medium,medium,low,medium,low,low,Major,D#,4.0
72vMwCjJuRRa1r0bhFBbE1,0.938,0.613,11.0,-7.959,0.0,0.22,0.0312,0.000162,0.0982,0.275,99.938,128667.0,4.0,high,medium,high,low,low,low,low,low,low,low,Minor,B,4.0
733RnlYLskyvWMhhzs70sy,0.718,0.87,2.0,-6.227,1.0,0.0447,0.000178,0.234,0.0869,0.129,118.937,124034.0,4.0,medium,high,medium,low,low,low,medium,low,low,low,Major,D,4.0
736PP5LTtREkDgktNmX3Gu,0.501,0.445,7.0,-9.117,1.0,0.0369,0.614,0.0373,0.194,0.0549,106.627,174513.0,5.0,low,low,low,high,high,low,low,medium,low,low,Major,G,5.0
739WUU1tPFLO4x4HJq561K,0.783,0.592,11.0,-8.332,0.0,0.0331,0.435,4.15e-06,0.347,0.726,120.018,174253.0,4.0,high,medium,low,medium,high,high,medium,low,low,low,Minor,B,4.0
739hpOcYdGHQNQL6aRWrZU,0.15,0.229,1.0,-23.76,1.0,0.171,0.805,0.851,0.108,0.185,69.198,241339.0,4.0,low,low,high,high,low,low,low,high,low,high,Major,C#,4.0
73GR50SgGV5hybgWDSFWtD,0.453,0.359,7.0,-8.567,1.0,0.0247,0.849,3.02e-05,0.137,0.178,76.015,288440.0,4.0,low,low,low,high,medium,low,low,high,low,low,Major,G,4.0
73LXlPOFCWBAGlkQT28KGN,0.637,0.739,0.0,-6.028,1.0,0.0387,0.0024,0.0,0.122,0.143,117.945,219633.0,4.0,medium,medium,low,low,medium,low,medium,high,low,low,Major,C,4.0
73NzYbpaYvQ7JfpjztFESL,0.662,0.77,0.0,-4.887,1.0,0.0367,0.0875,0.0,0.35,0.769,132.057,167535.0,4.0,medium,high,low,low,high,high,medium,low,low,low,Major,C,4.0
73RbfOTJIjHzi2pcVHjeHM,0.74,0.758,1.0,-5.851,0.0,0.0921,0.061,1.44e-06,0.0967,0.757,171.925,189825.0,4.0,high,high,high,low,low,high,high,medium,low,low,Minor,C#,4.0
73S4fsK22WH929PLFNYgOj,0.926,0.577,10.0,-6.805,0.0,0.367,0.0401,0.0,0.23,0.304,134.383,174467.0,4.0,high,medium,high,low,high,low,medium,medium,low,low,Minor,A#,4.0
73hsuKcpEGujnjA1z5RE2m,0.87,0.766,8.0,-3.963,1.0,0.0593,0.0755,0.0336,0.169,0.657,129.987,120000.0,4.0,high,high,medium,low,medium,high,medium,low,low,low,Major,G#,4.0
73pTsX2kyxBo5NYHSQq5CP,0.214,0.000571,9.0,-39.851,0.0,0.0498,0.992,0.968,0.11,0.038,67.683,155931.0,3.0,low,low,medium,high,medium,low,low,low,low,high,Minor,A,3.0
73vGr4FjFvY2TgndujZYDa,0.558,0.721,11.0,-5.095,1.0,0.0335,0.21,0.0,0.215,0.313,81.998,205842.0,4.0,low,medium,low,medium,high,low,low,medium,low,low,Major,B,4.0
73zawW1ttszLRgT9By826D,0.498,0.764,4.0,-5.006,1.0,0.0309,0.123,3.07e-05,0.119,0.489,147.984,191231.0,4.0,low,high,low,medium,medium,medium,high,medium,low,low,Major,E,4.0
741UUVE2kuITl0c6zuqqbO,0.77,0.58,0.0,-8.393,1.0,0.247,0.519,0.000127,0.233,0.753,144.072,109750.0,4.0,high,medium,high,medium,high,high,high,low,low,low,Major,C,4.0
74FLiOoTc82PIUpV6QrJ2O,0.533,0.738,0.0,-6.876,1.0,0.193,0.306,3.82e-05,0.152,0.57,142.532,128690.0,4.0,low,medium,high,medium,medium,medium,high,low,low,low,Major,C,4.0
754kgU5rWscRTfvlsuEwFp,0.526,0.749,3.0,-6.964,1.0,0.0283,0.023,1.76e-06,0.0692,0.421,99.982,208680.0,4.0,low,medium,low,low,low,medium,low,medium,low,low,Major,D#,4.0
75EIDyYc0excxUOzold15R,0.391,0.545,5.0,-7.648,0.0,0.0536,0.0754,3.54e-05,0.0853,0.388,148.313,125253.0,4.0,low,medium,medium,low,low,medium,high,low,low,low,Minor,F,4.0
75N7fZHtskY9xisIme7rMh,0.171,0.278,9.0,-20.997,0.0,0.0422,0.437,0.0,0.355,0.153,128.015,194736.0,5.0,low,low,low,medium,high,low,medium,medium,low,low,Minor,A,5.0
75VAFZAhvPSw1euEHg1fQU,0.67,0.235,0.0,-15.638,1.0,0.047,0.748,0.0,0.357,0.757,134.932,160880.0,4.0,medium,low,medium,high,high,high,medium,low,low,low,Major,C,4.0
75c2zaSdDBSX0A8Jyvm4fO,0.466,0.51,3.0,-7.31,0.0,0.0348,0.0842,1.55e-06,0.0912,0.418,67.513,137778.0,4.0,low,low,low,low,low,medium,low,low,low,low,Minor,D#,4.0
760jhRscwGbIIe1m1IIQpU,0.65,0.584,2.0,-8.286,1.0,0.307,0.0174,1.54e-06,0.042,0.37,180.088,202227.0,4.0,medium,medium,high,low,low,medium,high,medium,low,low,Major,D,4.0
76BzLwrirxKlnPfNVFdc7n,0.637,0.58,5.0,-5.513,1.0,0.029,0.441,0.0,0.139,0.437,141.579,205467.0,4.0,medium,medium,low,medium,medium,medium,high,medium,low,low,Major,F,4.0
76YSWx6L6FNsuaP6GWBb8P,0.46,0.66,3.0,-6.642,1.0,0.0652,0.0108,0.000139,0.34,0.18,141.722,191710.0,4.0,low,medium,medium,low,high,low,high,medium,low,low,Major,D#,4.0
