id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6fazW2YcCSwJRdkoWls1FB,0.875,0.883,1,-2.958,0,0.124,0.00462,0.538,0.107,0.807,130.044,84577,4
5Sk39LuvdwuvL84jD01Dum,0.706,0.91,1,-3.527,1,0.146,0.175,2e-06,0.11,0.667,126.007,107045,4
34lfu3S4fIcKZRNXzbdbo7,0.822,0.981,9,-1.321,1,0.109,0.000593,0.748,0.0938,0.404,115.005,133565,4
0G17UriYHMjXnZE2OJJSMR,0.74,0.934,10,-8.178,1,0.0384,0.063,0.831,0.198,0.261,119.693,138857,4
2WzAAerBvZvvFXgUpSwHZ9,0.633,0.433,1,-8.833,1,0.229,0.0053,0.28,0.145,0.373,122.088,121972,4
6nqdgUTiWt4JbABDurkxMI,0.615,0.521,2,-9.488,1,0.0318,0.146,0.772,0.11,0.045,115.016,171385,4
4sVrOA0sytAzv102tnQmr7,0.795,0.657,1,-4.75,1,0.411,0.788,0.728,0.107,0.661,194.992,125508,3
3CLSHJv5aUROAN2vfOyCOh,0.784,0.572,0,-9.853,1,0.0573,0.0748,0.843,0.139,0.209,96.181,132346,4
1r08AN9HcG09RsM5Ubf34W,0.778,0.989,8,-2.221,1,0.2,0.0718,0.0142,0.077,0.392,127.003,136063,4
586x98q1tY2vlDlhN1BwQM,0.748,0.956,2,-3.827,1,0.109,0.00607,0.846,0.5,0.362,128.991,98068,4
6WyOuugKx4QEZl4PmIyT9G,0.794,0.831,1,0.218,1,0.0587,0.0264,0.0,0.421,0.506,139.252,150525,4
684yJVwS41anCimZla5jk9,0.765,0.913,9,-1.957,1,0.209,0.0441,0.000471,0.208,0.615,140.008,114594,4
3RlfkOE0lXMec08I6CaakR,0.752,0.81,5,-2.684,1,0.0497,0.653,0.472,0.167,0.553,130.109,96279,4
2rCVGFo2htxWlkDwm3klAB,0.713,0.988,9,1.384,1,0.202,0.0214,5.4e-05,0.169,0.589,117.049,115421,4
24f8BIfC3iOpKXiOlhrmQK,0.795,0.956,7,1.508,1,0.0503,6.53e-05,0.945,0.197,0.105,120.038,136032,4
4B8gtpBuEtU9XUizl6BK2W,0.676,0.617,0,-4.626,1,0.0414,0.000816,0.636,0.227,0.718,124.978,142940,4
5Y4OwloGr9QSxZLZ5DXGte,0.556,0.856,6,-6.816,1,0.0733,5.66e-05,0.00647,0.258,0.223,114.998,137739,4
6O4oKV3btLiEtOgEuplIUn,0.688,0.761,4,-4.607,0,0.163,0.00477,0.414,0.175,0.536,111.011,114625,4
5FX30idriKlEIRYTxpNf65,0.656,0.964,6,-2.087,0,0.0964,0.123,0.813,0.78,0.965,114.007,105789,4
73hsuKcpEGujnjA1z5RE2m,0.87,0.766,8,-3.963,1,0.0593,0.0755,0.0336,0.169,0.657,129.987,120000,4
0zcvETeNHWNO050bqZAjOs,0.893,0.965,5,-11.993,1,0.441,0.728,0.00274,0.407,0.343,143.042,141040,4
0LDUzTvKVEla4L7GusNck2,0.717,0.46,0,-6.425,1,0.0879,0.0561,0.868,0.148,0.528,120.018,160029,4
65YPiyiBBGQgqjiSG8jkvM,0.581,0.997,7,-3.076,1,0.0695,0.000239,0.441,0.317,0.0381,112.998,152926,3
1cQnwmwwUDB1G64mIi78O0,0.641,0.976,2,-1.179,1,0.104,0.003,0.886,0.165,0.219,124.015,143226,4
1cOOhtwpwDFIjsuZkp2KYJ,0.713,0.934,1,0.057,1,0.312,0.106,0.0,0.199,0.527,129.912,149107,4
