spotify_id,name,artists,popularity
7qLr3HMApUbyDkUvgIvHnB,Oh U Went (feat. Drake),"{'50co4Is1HCEo8bhOyUWKpn': 'Young Thug', '3TVXtAsR1Inumwj472S9r4': 'Drake'}",78
6tiYQ631gOeBb2jCtaIs0R,Hit List (with BigXthaPlug & Big Yavo),"{'3BAgmPNIK5IJl7zMK1wvMA': 'That Mexican OT', '6qxpnaukVayrQn6ViNvu9I': 'BigXthaPlug', '3PGiywHOqNwJ1bv4S3fgZF': 'Big Yavo'}",73
0lodMO0qK83vfPiiD7FMEt,TOPIA TWINS (feat. Rob49 & 21 Savage),"{'0Y5tJX1MQlPlqiwlOH1tJY': 'Travis Scott', '1jBoSSrbz9n4ehQWA4cZgB': 'Rob49', '1URnnhqYAYcrqrcwql10ft': '21 Savage'}",82
4EzkcqltSOxYE2lstuLOFs,Pull Up (feat. 21 Savage),"{'6BH1xcDkwbbyrLMUKECsW1': 'Toosii', '1URnnhqYAYcrqrcwql10ft': '21 Savage'}",73
5RknKQS8uPXks3pCETEUKY,Grizzley 2Tymes (feat. Finesse2Tymes),"{'6AUl0ykLLpvTktob97x9hO': 'Tee Grizzley', '3OoC54nEM3Xl7Kn5hsDdpg': 'Finesse2tymes'}",61
52NGJPcLUzQq5w7uv4e5gf,Private Landing (feat. Justin Bieber & Future),"{'4Gso3d4CscCijv0lmajZWs': 'Don Toliver', '1uNFoZAHBGtllmzznpCI3s': 'Justin Bieber', '1RyvyyTE3xzB2ZywiAwp0i': 'Future'}",78
5maOp2FZomEiboxhl9yh2z,Gun Class II (feat. Nardo Wick & G Herbo),"{'2ZI9cz1C8So6EWOwTbB1M7': 'MudBaby Ru', '0Njy6yR9LykNKYg9yE23QN': 'Nardo Wick', '5QdEbQJ3ylBnc3gsIASAT5': 'G Herbo'}",62
4RjLOOdis03Tfu8rpcnUBu,"WOO [Feat. PlayThatBoiZay, Chief Pound]","{'6fxyWrfmjcbj5d12gXeiNV': 'Denzel Curry', '04eqrYwakzHXxRABNRWbwM': 'PlayThatBoiZay', '6LaTLiY08GpquuOk8433Wb': 'Chief Pound'}",54
25iB3wmUOdPF4mj9lNjbtH,Dead or Alive,{'4Ga1P7PMIsmqEZqhYZQgDo': 'Lil Tecca'},68
3qnznOzVFYuDWjidDAxEV4,West Coast Weekend,"{'5LHRHt1k9lMyONurDHEdrp': 'Tyga', '0A0FS04o6zMoto8OKPsDwY': 'YG', '4qXC0i02bSFstECuXP2ZpL': 'Blxst'}",62
